L,N,method,gamma_method,gamma_schedule_model,cirq_version,openfermion_version,numpy_version,pandas_version,matplotlib_version,networkx_version,accounting_model,rotation_inventory_model,hall_decomposition_model,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnot_equiv,total_idle_slots,total_idle_slots_layered,n_1q_nonz,n_exact_t,n_synth_rz,spacetime_volume,p_2q,p_idle,p_1q,mult_fidelity,mult_fidelity_legacy,verification_error
7,49,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,7,56,496,2531,3106,19466,21564,246,56,778,27776,0.0001,0.0001,0.0001,0.08482852964916257,0.11082421381227545,
7,49,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,7,56,496,2531,3106,19466,21564,246,56,778,27776,1e-05,1e-05,1e-05,0.7813741070631788,0.8025419912061789,
8,64,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,64,304,2928,5856,3872,7744,129,414,68,19456,0.001,0.001,0.001,1.232082739114182e-06,0.0011099922247989767,
8,64,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,64,304,2928,5856,3872,7744,129,414,68,19456,0.0001,0.0001,0.0001,0.2566433234506107,0.5065997665323295,
8,64,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,64,304,2928,5856,3872,7744,129,414,68,19456,1e-05,1e-05,1e-05,0.8728420389525143,0.934260155926878,
8,64,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,64,100,1234,1810,2012,2780,129,420,44,6400,0.001,0.001,0.001,0.0101295687707546,0.03886644166514143,
8,64,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,64,100,1234,1810,2012,2780,129,420,44,6400,0.0001,0.0001,0.0001,0.6319007416441911,0.7228046903959812,
8,64,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,64,100,1234,1810,2012,2780,129,420,44,6400,1e-05,1e-05,1e-05,0.9551372519570165,0.9680610143865077,
8,64,gamma_2d_proper,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,64,204,2336,3356,4416,6344,129,420,44,13056,0.001,0.001,0.001,6.098679236992616e-05,0.0011645992385908603,
8,64,gamma_2d_proper,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,64,204,2336,3356,4416,6344,129,420,44,13056,0.0001,0.0001,0.0001,0.3790646517961988,0.5090374129669674,
8,64,gamma_2d_proper,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,64,204,2336,3356,4416,6344,129,420,44,13056,1e-05,1e-05,1e-05,0.9075555659661826,0.934708710689029,
8,64,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,8,72,556,3512,4532,28544,30968,129,420,44,40032,0.001,0.001,0.001,3.756920649607017e-16,1.1783941344067255e-14,
8,64,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,8,72,556,3512,4532,28544,30968,129,420,44,40032,0.0001,0.0001,0.0001,0.0287195411433147,0.040528076802133765,
8,64,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,8,72,556,3512,4532,28544,30968,129,420,44,40032,1e-05,1e-05,1e-05,0.7011721986196509,0.725741344225993,
9,81,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,81,476,4698,9396,9882,19764,244,432,352,38556,0.001,0.001,0.001,2.136174220394137e-13,4.621876480818302e-07,
9,81,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,81,476,4698,9396,9882,19764,244,432,352,38556,0.0001,0.0001,0.0001,0.05414195909543637,0.23268424763063864,
9,81,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,81,476,4698,9396,9882,19764,244,432,352,38556,1e-05,1e-05,1e-05,0.7470662139075916,0.8643299219092161,
9,81,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,81,160,1638,2448,5148,8064,244,432,352,12960,0.001,0.001,0.001,2.706526174918716e-05,0.0011256492893767342,
9,81,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,81,160,1638,2448,5148,8064,244,432,352,12960,0.0001,0.0001,0.0001,0.3494997042546668,0.507309538419046,
9,81,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,81,160,1638,2448,5148,8064,244,432,352,12960,1e-05,1e-05,1e-05,0.9002160169692459,0.9343909621589621,
